Afghanistan|none|Kabul|https://www.facebook.com/groups/free.code.camp.kabul/|https://maps.googleapis.com/maps/api/geocode/json?address=Kabul,Afghanistan
Albania|none|Tirana|https://www.facebook.com/groups/free.code.camp.tirana/|https://maps.googleapis.com/maps/api/geocode/json?address=Tirana,Albania
Algeria|none|Algiers|https://www.facebook.com/groups/free.code.camp.Algiers/|https://maps.googleapis.com/maps/api/geocode/json?address=Algiers,Algeria
Algeria|none|Mansoura|https://www.facebook.com/groups/free.code.camp.mansoura/|https://maps.googleapis.com/maps/api/geocode/json?address=Mansoura,Algeria
Algeria|none|Oran|https://www.facebook.com/groups/free.code.camp.oran/|https://maps.googleapis.com/maps/api/geocode/json?address=Oran,Algeria
Angola|none|Luanda|https://www.facebook.com/groups/free.code.camp.luanda/|https://maps.googleapis.com/maps/api/geocode/json?address=Luanda,Angola
Argentina|none|Bahía Blanca|https://www.facebook.com/groups/freecodecampbahiablanca/|https://maps.googleapis.com/maps/api/geocode/json?address=Bahía+Blanca,Argentina
Argentina|none|Bariloche|https://www.facebook.com/groups/free.code.camp.bariloche/|https://maps.googleapis.com/maps/api/geocode/json?address=Bariloche,Argentina
Argentina|none|Buenos Aires|https://www.facebook.com/groups/free.code.camp.buenos.aires/|https://maps.googleapis.com/maps/api/geocode/json?address=Buenos+Aires,Argentina
Argentina|none|Cordoba|https://www.facebook.com/groups/free.code.camp.cordoba/|https://maps.googleapis.com/maps/api/geocode/json?address=Cordoba,Argentina
Argentina|none|La Plata|https://www.facebook.com/groups/free.code.camp.la.plata/|https://maps.googleapis.com/maps/api/geocode/json?address=La+Plata,Argentina
Argentina|none|Mendoza|https://www.facebook.com/groups/free.code.camp.mendoza/|https://maps.googleapis.com/maps/api/geocode/json?address=Mendoza,Argentina
Argentina|none|Resistencia|https://www.facebook.com/groups/free.code.camp.resistencia/|https://maps.googleapis.com/maps/api/geocode/json?address=Resistencia,Argentina
Argentina|none|Rosario|https://www.facebook.com/groups/free.code.camp.rosario/|https://maps.googleapis.com/maps/api/geocode/json?address=Rosario,Argentina
Armenia|none|Yerevan|https://www.facebook.com/groups/free.code.camp.armenia/|https://maps.googleapis.com/maps/api/geocode/json?address=Yerevan,Armenia
Australia|none|Adelaide|https://www.facebook.com/groups/free.code.camp.adelaide/|https://maps.googleapis.com/maps/api/geocode/json?address=Adelaide,Australia
Australia|none|Bellingham|https://www.facebook.com/groups/free.code.camp.bellingham/|https://maps.googleapis.com/maps/api/geocode/json?address=Bellingham,Australia
Australia|none|Brisbane|https://www.facebook.com/groups/free.code.camp.brisbane/|https://maps.googleapis.com/maps/api/geocode/json?address=Brisbane,Australia
Australia|none|Canberra|https://www.facebook.com/groups/free.code.camp.canberra/|https://maps.googleapis.com/maps/api/geocode/json?address=Canberra,Australia
Australia|none|Geelong|https://www.facebook.com/groups/free.code.camp.Geelong.Australia/|https://maps.googleapis.com/maps/api/geocode/json?address=Geelong,Australia
Australia|none|Gold Coast|https://www.facebook.com/groups/free.code.camp.Gold.Coast/|https://maps.googleapis.com/maps/api/geocode/json?address=Gold+Coast,Australia
Australia|none|Hobart|https://www.facebook.com/groups/free.code.camp.hobart/|https://maps.googleapis.com/maps/api/geocode/json?address=Hobart,Australia
Australia|none|Ipswich|https://www.facebook.com/groups/free.code.camp.ipswich.qld/|https://maps.googleapis.com/maps/api/geocode/json?address=Ipswich,Australia
Australia|none|Maitland|https://www.facebook.com/groups/free.code.camp.maitland.au/|https://maps.googleapis.com/maps/api/geocode/json?address=Maitland,Australia
Australia|none|Melbourne|https://www.facebook.com/groups/free.code.camp.Melbourne/|https://maps.googleapis.com/maps/api/geocode/json?address=Melbourne,Australia
Australia|none|Perth|https://www.facebook.com/groups/free.code.camp.perth/|https://maps.googleapis.com/maps/api/geocode/json?address=Perth,Australia
Australia|none|Sydney|https://www.facebook.com/groups/free.code.camp.sydney.au/|https://maps.googleapis.com/maps/api/geocode/json?address=Sydney,Australia
Austria|none|Graz|https://www.facebook.com/groups/free.code.camp.graz/|https://maps.googleapis.com/maps/api/geocode/json?address=Graz,Austria
Austria|none|Vienna|https://www.facebook.com/groups/free.code.camp.vienna.austria/|https://maps.googleapis.com/maps/api/geocode/json?address=Vienna,Austria
Azerbaijan|none|Baku|https://www.facebook.com/groups/free.code.camp.baku/|https://maps.googleapis.com/maps/api/geocode/json?address=Baku,Azerbaijan
Bangladesh|none|Chittagong|https://www.facebook.com/groups/free.code.camp.ctg/|https://maps.googleapis.com/maps/api/geocode/json?address=Chittagong,Bangladesh
Bangladesh|none|Dhaka|https://www.facebook.com/groups/free.code.camp.dhaka/|https://maps.googleapis.com/maps/api/geocode/json?address=Dhaka,Bangladesh
Bangladesh|none|Rangpur|https://www.facebook.com/groups/free.code.camp.rangpur/|https://maps.googleapis.com/maps/api/geocode/json?address=Rangpur,Bangladesh
Belarus|none|Brest|https://www.facebook.com/groups/free.code.camp.brest/|https://maps.googleapis.com/maps/api/geocode/json?address=Brest,Belarus
Belarus|none|Gomel|https://www.facebook.com/groups/free.code.camp.gomel/|https://maps.googleapis.com/maps/api/geocode/json?address=Gomel,Belarus
Belarus|none|Minsk|https://www.facebook.com/groups/free.code.camp.Minsk/|https://maps.googleapis.com/maps/api/geocode/json?address=Minsk,Belarus
Belgium|none|Antwerp|https://www.facebook.com/groups/free.code.camp.antwerp/|https://maps.googleapis.com/maps/api/geocode/json?address=Antwerp,Belgium
