Afghanistan|none|Kabul|https://www.facebook.com/groups/free.code.camp.kabul/
Albania|none|Tirana|https://www.facebook.com/groups/free.code.camp.tirana/
Algeria|none|Algiers|https://www.facebook.com/groups/free.code.camp.Algiers/
Algeria|none|Mansoura|https://www.facebook.com/groups/free.code.camp.mansoura/
Algeria|none|Oran|https://www.facebook.com/groups/free.code.camp.oran/
Angola|none|Luanda|https://www.facebook.com/groups/free.code.camp.luanda/
Argentina|none|Bahía Blanca|https://www.facebook.com/groups/freecodecampbahiablanca/
Argentina|none|Bariloche|https://www.facebook.com/groups/free.code.camp.bariloche/
Argentina|none|Buenos Aires|https://www.facebook.com/groups/free.code.camp.buenos.aires/
Argentina|none|Cordoba|https://www.facebook.com/groups/free.code.camp.cordoba/
Argentina|none|La Plata|https://www.facebook.com/groups/free.code.camp.la.plata/
Argentina|none|Mendoza|https://www.facebook.com/groups/free.code.camp.mendoza/
Argentina|none|Resistencia|https://www.facebook.com/groups/free.code.camp.resistencia/
Argentina|none|Rosario|https://www.facebook.com/groups/free.code.camp.rosario/
Armenia|none|Yerevan|https://www.facebook.com/groups/free.code.camp.armenia/
Australia|none|Adelaide|https://www.facebook.com/groups/free.code.camp.adelaide/
Australia|none|Bellingham|https://www.facebook.com/groups/free.code.camp.bellingham/
Australia|none|Brisbane|https://www.facebook.com/groups/free.code.camp.brisbane/
Australia|none|Canberra|https://www.facebook.com/groups/free.code.camp.canberra/
Australia|none|Geelong|https://www.facebook.com/groups/free.code.camp.Geelong.Australia/
Australia|none|Gold Coast|https://www.facebook.com/groups/free.code.camp.Gold.Coast/
Australia|none|Hobart|https://www.facebook.com/groups/free.code.camp.hobart/
Australia|none|Ipswich|https://www.facebook.com/groups/free.code.camp.ipswich.qld/
Australia|none|Maitland|https://www.facebook.com/groups/free.code.camp.maitland.au/
Australia|none|Melbourne|https://www.facebook.com/groups/free.code.camp.Melbourne/
Australia|none|Perth|https://www.facebook.com/groups/free.code.camp.perth/
Australia|none|Sydney|https://www.facebook.com/groups/free.code.camp.sydney.au/
Austria|none|Graz|https://www.facebook.com/groups/free.code.camp.graz/
Austria|none|Vienna|https://www.facebook.com/groups/free.code.camp.vienna.austria/
Azerbaijan|none|Baku|https://www.facebook.com/groups/free.code.camp.baku/
Bangladesh|none|Chittagong|https://www.facebook.com/groups/free.code.camp.ctg/
Bangladesh|none|Dhaka|https://www.facebook.com/groups/free.code.camp.dhaka/
Bangladesh|none|Rangpur|https://www.facebook.com/groups/free.code.camp.rangpur/
Belarus|none|Brest|https://www.facebook.com/groups/free.code.camp.brest/
Belarus|none|Gomel|https://www.facebook.com/groups/free.code.camp.gomel/
Belarus|none|Minsk|https://www.facebook.com/groups/free.code.camp.Minsk/
Belgium|none|Antwerp|https://www.facebook.com/groups/free.code.camp.antwerp/
Belgium|none|Brussels|https://www.facebook.com/groups/free.code.camp.brussels/
Belgium|none|Gent|https://www.facebook.com/groups/free.code.camp.gent/
Belgium|none|Leuven|https://www.facebook.com/groups/free.code.camp.leuven/
Belize|none|Belize City|https://www.facebook.com/groups/free.code.camp.belize.city/
Belize|none|Belize|https://www.facebook.com/groups/free.code.camp.belize/
Belize|none|Louisville|https://www.facebook.com/groups/free.code.camp.Louisville
Benin|none|Cotonou|https://www.facebook.com/groups/free.code.camp.cotonou/
Bermuda|none|Saint George|https://www.facebook.com/groups/free.code.camp.saint.george/
Bolivia|none|Sucre|https://www.facebook.com/groups/free.code.camp.Sucre/
